,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.75,0.75,0.875,0.75,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.8125,0.6666666666666666,0.625,0.9166666666666666,0.75
CC,0.75,,0.75,0.875,0.75,0.8333333333333334,0.75,0.6666666666666666,0.8125,0.75,0.625,0.9166666666666666,0.8125
CG,0.75,0.75,,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.625,0.9166666666666666,0.8125
GD,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.9166666666666666,0.8125
JM,0.75,0.75,0.75,0.875,,0.75,0.8333333333333334,0.75,0.75,0.75,0.625,0.9166666666666666,0.8125
JR,0.75,0.8125,0.75,0.875,0.75,,0.8333333333333334,0.75,0.8125,0.75,0.625,0.9166666666666666,0.8125
JS,0.75,0.6875,0.6666666666666666,0.875,0.8333333333333334,0.8333333333333334,,0.75,0.8125,0.75,0.625,0.9166666666666666,0.75
ML,0.75,0.75,0.75,0.875,0.6666666666666666,0.8333333333333334,0.8333333333333334,,0.8125,0.6666666666666666,0.625,0.9166666666666666,0.8125
NL,0.75,0.75,0.75,0.875,0.6666666666666666,0.75,0.8333333333333334,0.75,,0.75,0.625,0.9166666666666666,0.8125
RK,0.75,0.75,0.6666666666666666,0.875,0.6666666666666666,0.75,0.8333333333333334,0.75,0.75,,0.625,0.9166666666666666,0.75
SC,0.75,0.75,0.75,0.875,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.8125,0.8333333333333334,,0.9166666666666666,0.8125
TP,0.75,0.8125,0.6666666666666666,0.875,0.75,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.625,,0.75
YY,0.75,0.6875,0.6666666666666666,0.875,0.6666666666666666,0.75,0.75,0.75,0.75,0.75,0.625,0.9166666666666666,
