,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.8125,0.8333333333333334,0.75,0.75,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.8125,0.8333333333333334,0.8125
CC,0.8333333333333334,,0.75,0.75,0.9166666666666666,1.0,0.6666666666666666,0.75,0.75,0.8333333333333334,0.8125,0.75,0.75
CG,0.8333333333333334,0.8125,,0.75,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.8333333333333334,0.6875
GD,0.9166666666666666,0.8125,0.75,,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.8125,0.8333333333333334,0.75
JM,0.75,0.8125,0.75,0.75,,0.9166666666666666,0.75,0.75,0.75,0.75,0.75,0.8333333333333334,0.75
JR,0.8333333333333334,0.8125,0.8333333333333334,0.75,0.75,,0.6666666666666666,0.75,0.8125,0.8333333333333334,0.875,0.8333333333333334,0.75
JS,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,0.9166666666666666,,0.6666666666666666,0.75,0.8333333333333334,0.8125,0.75,0.6875
ML,0.8333333333333334,0.8125,0.75,0.75,0.9166666666666666,0.9166666666666666,0.75,,0.75,0.75,0.8125,0.8333333333333334,0.75
NL,0.8333333333333334,0.8125,0.75,0.75,0.75,0.9166666666666666,0.6666666666666666,0.6666666666666666,,0.8333333333333334,0.8125,0.75,0.75
RK,0.9166666666666666,0.8125,0.75,0.75,0.75,0.9166666666666666,0.6666666666666666,0.75,0.75,,0.8125,0.8333333333333334,0.75
SC,0.8333333333333334,0.8125,0.75,0.75,0.8333333333333334,0.9166666666666666,0.75,0.8333333333333334,0.75,0.8333333333333334,,0.75,0.75
TP,0.8333333333333334,0.8125,0.75,0.75,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.75,0.9166666666666666,0.8125,,0.75
YY,0.8333333333333334,0.8125,0.8333333333333334,0.75,0.75,0.9166666666666666,0.6666666666666666,0.75,0.6875,0.75,0.8125,0.75,
