,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.625,0.5576923076923077,0.75,0.7,0.75,0.65,0.6111111111111112,0.6166666666666667,0.5625,0.75
CC,0.625,,0.5576923076923077,0.6666666666666666,0.7,0.75,0.625,0.6388888888888888,0.6,0.5416666666666666,0.6458333333333334
GD,0.625,0.6458333333333334,,0.75,0.7,0.6666666666666666,0.575,0.6388888888888888,0.6166666666666667,0.5416666666666666,0.6875
JM,0.625,0.6041666666666666,0.5576923076923077,,0.675,0.75,0.625,0.6111111111111112,0.6166666666666667,0.5416666666666666,0.7291666666666666
JR,0.625,0.5833333333333334,0.5769230769230769,0.75,,0.8333333333333334,0.625,0.6666666666666666,0.5666666666666667,0.5416666666666666,0.625
JS,0.625,0.6458333333333334,0.5576923076923077,0.75,0.7,,0.625,0.6111111111111112,0.6,0.5416666666666666,0.7291666666666666
ML,0.5833333333333334,0.6458333333333334,0.5576923076923077,0.6666666666666666,0.725,0.75,,0.6944444444444444,0.65,0.5416666666666666,0.6875
NL,0.625,0.625,0.5576923076923077,0.6666666666666666,0.65,0.6666666666666666,0.65,,0.5666666666666667,0.5416666666666666,0.75
RK,0.7083333333333334,0.625,0.5961538461538461,0.8333333333333334,0.6,0.75,0.575,0.6388888888888888,,0.5416666666666666,0.7083333333333334
SC,0.6666666666666666,0.6875,0.5769230769230769,0.75,0.675,0.75,0.625,0.6388888888888888,0.6,,0.6458333333333334
YY,0.625,0.6041666666666666,0.5576923076923077,0.6666666666666666,0.675,0.75,0.625,0.5833333333333334,0.6333333333333333,0.5416666666666666,
