,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,,,,,,,,,,,,
CC,0.5,,0.5625,0.5,0.5,0.5625,0.4375,0.625,0.5,0.4375,0.5,0.5625,0.4375
CG,,,,,,,,,,,,,
GD,0.5,0.5833333333333334,0.5833333333333334,,0.5,0.5,0.5,0.8333333333333334,0.5,0.5,0.6666666666666666,0.5,0.5
JM,0.5833333333333334,0.5,0.5,0.4166666666666667,,0.5,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333
JR,,,,,,,,,,,,,
JS,0.5,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,0.3333333333333333,,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5833333333333334
ML,,,,,,,,,,,,,
NL,0.5,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.5,0.4166666666666667,0.5833333333333334,0.5833333333333334,,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334
RK,0.25,0.4166666666666667,0.5,0.3333333333333333,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5,,0.4166666666666667,0.3333333333333333,0.5
SC,0.75,0.625,0.5,0.5,0.5,0.4375,0.375,0.4375,0.5,0.5,,0.5,0.5
TP,,,,,,,,,,,,,
YY,0.5,0.5,0.4375,0.4375,0.375,0.4375,0.5625,0.5,0.5625,0.375,0.375,0.3125,
