,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.75,0.75,0.5833333333333334,0.5833333333333334
CC,0.5,,0.6875,0.5,0.5,0.5625,0.5,0.5,0.5,0.4375,0.5625,0.5625,0.5625
CG,0.4166666666666667,0.8333333333333334,,0.75,0.75,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666
GD,0.75,0.625,0.625,,0.5,0.75,0.625,0.75,0.625,0.625,0.625,0.75,0.75
JM,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,,0.5,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
JR,0.5,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5833333333333334,,0.5,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334
JS,0.5,0.5,0.5833333333333334,0.5,0.75,0.5833333333333334,,0.4166666666666667,0.3333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.5
ML,0.5,0.4166666666666667,0.6666666666666666,0.75,0.5833333333333334,0.4166666666666667,0.5833333333333334,,0.5833333333333334,0.5833333333333334,0.5,0.4166666666666667,0.5833333333333334
NL,0.625,0.625,0.625,0.625,0.625,0.6875,0.625,0.6875,,0.625,0.5,0.625,0.6875
RK,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.5,0.5,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.5833333333333334,,0.4166666666666667,0.5833333333333334,0.6666666666666666
SC,0.5,0.5,0.625,0.5,0.4375,0.5,0.5,0.5,0.5,0.4375,,0.5,0.5625
TP,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.5833333333333334,,0.5833333333333334
YY,0.6875,0.625,0.625,0.8125,0.6875,0.5,0.625,0.5,0.5625,0.625,0.75,0.625,
