,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.578125,0.75,0.5833333333333334,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.6346153846153846,0.6346153846153846,0.5694444444444444,0.640625,0.75,0.625
CC,0.6388888888888888,,0.75,0.5666666666666667,0.7083333333333334,0.6153846153846154,0.7083333333333334,0.6538461538461539,0.6346153846153846,0.6111111111111112,0.609375,0.5833333333333334,0.65625
CG,0.6111111111111112,0.5625,,0.5833333333333334,0.7083333333333334,0.5961538461538461,0.6666666666666666,0.6153846153846154,0.6346153846153846,0.5694444444444444,0.609375,0.6666666666666666,0.625
GD,0.6666666666666666,0.578125,0.75,,0.7083333333333334,0.6153846153846154,0.6666666666666666,0.6538461538461539,0.6346153846153846,0.5555555555555556,0.625,0.6666666666666666,0.59375
JM,0.6666666666666666,0.5625,0.75,0.5666666666666667,,0.6153846153846154,0.6666666666666666,0.6346153846153846,0.6346153846153846,0.5555555555555556,0.625,0.6666666666666666,0.65625
JR,0.6111111111111112,0.578125,0.6666666666666666,0.5833333333333334,0.7083333333333334,,0.6666666666666666,0.6153846153846154,0.6538461538461539,0.5694444444444444,0.59375,0.5833333333333334,0.625
JS,0.6388888888888888,0.578125,0.6666666666666666,0.5833333333333334,0.75,0.6153846153846154,,0.6538461538461539,0.6346153846153846,0.5694444444444444,0.59375,0.5833333333333334,0.609375
ML,0.6666666666666666,0.578125,0.75,0.6166666666666667,0.75,0.5961538461538461,0.6666666666666666,,0.6538461538461539,0.5694444444444444,0.625,0.6666666666666666,0.59375
NL,0.5833333333333334,0.5625,0.75,0.6,0.7083333333333334,0.6346153846153846,0.75,0.6153846153846154,,0.6111111111111112,0.59375,0.6666666666666666,0.640625
RK,0.7222222222222222,0.59375,0.75,0.6333333333333333,0.7083333333333334,0.5961538461538461,0.75,0.6153846153846154,0.6346153846153846,,0.625,0.6666666666666666,0.609375
SC,0.6111111111111112,0.5625,0.75,0.6333333333333333,0.7083333333333334,0.6538461538461539,0.75,0.6346153846153846,0.6538461538461539,0.5694444444444444,,0.5833333333333334,0.65625
TP,0.5833333333333334,0.578125,0.75,0.5833333333333334,0.75,0.6153846153846154,0.7083333333333334,0.6923076923076923,0.6538461538461539,0.5555555555555556,0.609375,,0.640625
YY,0.6111111111111112,0.578125,0.75,0.5666666666666667,0.7083333333333334,0.5961538461538461,0.6666666666666666,0.5961538461538461,0.6538461538461539,0.5694444444444444,0.65625,0.5833333333333334,
